player_name,position,minutes,xg_per90,xa_per90,key_passes_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_carries_per90,dribbles_completed_per90
Jugador_1,EI,1796,0.39,0.03,1.16,1.47,4.04,1.67,0.33
Jugador_2,DC,2537,0.21,0.22,1.69,2.21,6.37,2.66,1.14
Jugador_3,ED,1708,0.17,0.11,1.25,1.4,5.43,1.78,0.96
Jugador_4,DC,1700,0.02,0.13,1.11,1.52,8.42,4.06,0.26
Jugador_5,DC,1606,0.2,0.27,2.05,1.75,3.39,1.44,1.32
Jugador_6,MOC,1272,0.39,0.11,0.95,1.23,4.11,2.56,1.69
Jugador_7,ED,2068,0.09,0.07,1.93,0.88,6.35,2.83,0.7
Jugador_8,ED,1582,0.1,0.11,0.7,0.96,1.68,2.89,0.13
Jugador_9,ED,1009,0.08,0.03,3.16,0.97,5.98,1.92,0.65
Jugador_10,DC,1779,0.35,0.15,1.37,0.72,4.66,1.6,1.43
Jugador_11,EI,1734,0.78,0.16,1.31,1.36,2.67,1.93,1.27
Jugador_12,ED,948,0.4,0.14,2.19,0.89,1.96,3.03,0.54
Jugador_14,MOC,1557,0.08,0.06,2.37,1.12,0.57,3.3,1.67
Jugador_15,EI,983,0.36,0.2,1.72,1.18,3.27,2.98,0.63
Jugador_16,MOC,963,0.26,0.06,1.43,1.48,4.93,0.22,0.63
Jugador_17,EI,2298,0.18,0.04,1.36,0.93,3.29,2.75,0.7
Jugador_18,DC,1931,0.11,0.02,2.22,1.52,6.08,4.75,0.75
Jugador_19,MC,1795,0.17,0.18,1.64,1.98,6.49,3.83,1.48
Jugador_20,EI,1436,0.18,0.03,1.76,1.37,5.91,2.92,1.21
Jugador_21,MOC,2153,0.38,0.02,1.82,0.81,4.35,1.44,1.44
Jugador_22,DC,1820,0.03,0.17,1.58,0.89,0.51,2.98,1.34
Jugador_23,EI,2789,0.34,0.4,1.81,1.08,2.94,3.24,1.86
Jugador_25,MC,1591,0.36,0.2,1.47,0.7,2.66,2.82,1.19
Jugador_26,ED,1936,0.73,0.48,0.83,1.28,3.79,4.01,0.0
Jugador_27,ED,998,0.13,0.02,1.68,1.09,6.42,1.64,0.34
Jugador_28,MOC,2460,0.23,0.04,0.47,1.29,1.53,1.44,0.96
Jugador_30,EI,941,0.13,0.11,1.33,1.08,5.33,2.96,0.95
Jugador_31,ED,2567,0.15,0.0,1.72,0.61,4.4,3.53,0.72
Jugador_32,EI,1889,0.19,0.27,0.87,1.0,2.93,3.07,0.81
Jugador_33,EI,1154,0.28,0.16,0.23,1.59,2.69,1.93,1.68
Jugador_34,MC,2059,0.19,0.53,1.29,1.54,1.56,2.93,0.81
Jugador_35,ED,2732,0.21,0.13,0.87,1.46,6.58,1.36,1.87
Jugador_36,DC,1961,0.31,0.01,0.43,0.89,6.31,2.25,1.4
Jugador_37,ED,1453,0.99,0.83,1.96,1.58,1.89,3.0,1.23
Jugador_38,DC,1376,0.08,0.24,2.46,1.69,3.17,2.14,0.4
